kreiskey1882,county,rb,occ1882_se_min_pr,occ1882_emp_min_pr,occ1882_se_sto_pr,occ1882_emp_sto_pr,occ1882_se_met_pr,occ1882_emp_met_pr,occ1882_se_eng_pr,occ1882_emp_eng_pr,occ1882_se_che_pr,occ1882_emp_che_pr,occ1882_se_lum_pr,occ1882_emp_lum_pr,occ1882_se_tex_pr,occ1882_emp_tex_pr,occ1882_se_pap_pr,occ1882_emp_pap_pr,occ1882_se_woo_pr,occ1882_emp_woo_pr,occ1882_se_foo_pr,occ1882_emp_foo_pr,occ1882_se_clo_pr,occ1882_emp_clo_pr,occ1882_se_bui_pr,occ1882_emp_bui_pr,occ1882_se_pri_pr,occ1882_emp_pri_pr,occ1882_se_art_pr,occ1882_emp_art_pr,occ1882_se_min_cat,occ1882_emp_min_cat,occ1882_se_sto_cat,occ1882_emp_sto_cat,occ1882_se_met_cat,occ1882_emp_met_cat,occ1882_se_eng_cat,occ1882_emp_eng_cat,occ1882_se_che_cat,occ1882_emp_che_cat,occ1882_se_lum_cat,occ1882_emp_lum_cat,occ1882_se_tex_cat,occ1882_emp_tex_cat,occ1882_se_pap_cat,occ1882_emp_pap_cat,occ1882_se_woo_cat,occ1882_emp_woo_cat,occ1882_se_foo_cat,occ1882_emp_foo_cat,occ1882_se_clo_cat,occ1882_emp_clo_cat,occ1882_se_bui_cat,occ1882_emp_bui_cat,occ1882_se_pri_cat,occ1882_emp_pri_cat,occ1882_se_art_cat,occ1882_emp_art_cat,occ1882_se_min_jew,occ1882_emp_min_jew,occ1882_se_sto_jew,occ1882_emp_sto_jew,occ1882_se_met_jew,occ1882_emp_met_jew,occ1882_se_eng_jew,occ1882_emp_eng_jew,occ1882_se_che_jew,occ1882_emp_che_jew,occ1882_se_lum_jew,occ1882_emp_lum_jew,occ1882_se_tex_jew,occ1882_emp_tex_jew,occ1882_se_pap_jew,occ1882_emp_pap_jew,occ1882_se_woo_jew,occ1882_emp_woo_jew,occ1882_se_foo_jew,occ1882_emp_foo_jew,occ1882_se_clo_jew,occ1882_emp_clo_jew,occ1882_se_bui_jew,occ1882_emp_bui_jew,occ1882_se_pri_jew,occ1882_emp_pri_jew,occ1882_se_art_jew,occ1882_emp_art_jew,occ1882_se_min_tot,occ1882_emp_min_tot,occ1882_se_sto_tot,occ1882_emp_sto_tot,occ1882_se_met_tot,occ1882_emp_met_tot,occ1882_se_eng_tot,occ1882_emp_eng_tot,occ1882_se_che_tot,occ1882_emp_che_tot,occ1882_se_lum_tot,occ1882_emp_lum_tot,occ1882_se_tex_tot,occ1882_emp_tex_tot,occ1882_se_pap_tot,occ1882_emp_pap_tot,occ1882_se_woo_tot,occ1882_emp_woo_tot,occ1882_se_foo_tot,occ1882_emp_foo_tot,occ1882_se_clo_tot,occ1882_emp_clo_tot,occ1882_se_bui_tot,occ1882_emp_bui_tot,occ1882_se_pri_tot,occ1882_emp_pri_tot,occ1882_se_art_tot,occ1882_emp_art_tot
97,"USEDOM-WOLLIN","STE",2,7,32,191,129,223,74,150,6,8,0,0,68,31,33,48,194,237,212,321,762,275,95,885,8,19,0,0,0,1,2,2,0,3,0,0,0,1,0,0,0,3,1,0,1,4,3,1,9,11,3,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,0,0,1,0,0,2,8,34,193,129,226,75,150,6,9,0,0,68,35,35,48,195,241,215,322,776,288,98,896,8,21,0,0
98,"UCKERMUNDE","STE",1,33,50,766,135,308,54,145,5,4,0,4,48,16,33,25,191,264,199,442,657,271,93,1203,7,17,3,2,0,0,1,16,9,3,1,2,0,0,0,0,0,0,1,0,7,7,2,7,13,8,3,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,33,51,784,145,311,56,149,5,4,0,4,48,16,34,25,199,271,201,449,678,280,96,1232,7,18,3,2
99,"RANDOW","STE",1,104,91,1323,272,1642,137,1752,12,392,1,29,80,78,74,129,362,730,440,1160,1632,624,206,1804,10,60,6,4,0,2,1,14,5,71,3,54,1,1,0,1,1,1,2,3,11,24,11,20,24,12,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,13,2,0,1,0,0,0,0,1,106,92,1338,277,1721,142,1814,13,393,1,30,81,79,77,132,375,757,453,1181,1678,639,212,1820,10,60,6,4
100,"STETTIN","STE",2,2,53,279,220,836,128,348,20,139,18,258,70,86,146,258,320,930,272,1179,2843,1633,286,1637,37,263,18,13,0,0,3,10,10,38,5,13,0,5,2,14,2,5,8,13,12,33,17,34,130,98,7,38,2,13,0,3,0,0,1,0,3,1,2,1,0,2,5,0,3,1,1,4,1,0,7,5,39,11,5,0,3,2,1,0,2,2,61,290,236,879,137,362,20,146,25,273,79,95,155,275,338,968,296,1218,3031,1748,305,1683,43,281,19,17
101,"GREIFENHAGEN","STE",0,15,50,193,145,182,90,96,4,14,4,2,95,62,46,209,217,204,260,352,676,297,101,842,3,10,2,4,0,0,0,2,0,2,1,1,0,0,0,0,1,1,2,10,0,1,3,6,7,4,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,14,3,0,0,0,1,0,0,0,15,50,195,145,184,91,97,5,15,4,3,96,63,48,219,218,205,263,358,697,304,103,844,3,14,2,4
102,"PYRITZ","STE",0,39,19,278,112,140,72,57,3,3,2,4,32,14,29,28,124,111,175,360,600,264,102,686,2,10,1,1,0,0,0,8,0,3,0,1,0,1,0,0,3,1,0,1,1,2,1,2,5,3,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,39,20,286,112,143,72,58,3,4,2,4,36,15,29,29,125,113,178,364,606,269,103,710,2,10,1,1
103,"SAATZIG","STE",1,11,38,135,190,422,91,345,9,13,2,26,70,41,58,108,312,339,282,525,1145,535,148,1256,11,43,2,10,0,0,0,2,3,24,1,25,1,1,0,0,2,1,2,7,6,5,9,18,37,24,2,41,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,1,1,1,0,1,0,3,0,0,0,1,0,1,0,1,11,38,138,194,448,92,370,10,14,3,26,75,42,61,116,319,344,292,543,1185,559,150,1297,12,44,3,10
104,"NAUGARD","STE",1,99,31,76,155,175,81,77,7,11,1,0,56,34,35,82,244,256,216,307,642,284,96,575,3,14,1,0,0,3,2,2,0,7,0,2,0,0,0,0,0,2,2,6,2,1,3,3,8,4,2,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,9,4,1,0,0,0,0,0,1,102,33,78,155,182,82,79,7,11,1,0,56,36,37,88,246,257,223,311,659,292,100,587,3,15,1,0
105,"KAMMIN","STE",3,40,26,119,126,166,79,58,4,5,6,6,73,31,27,30,137,114,162,267,567,311,54,429,2,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,3,2,3,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,3,41,26,120,126,167,79,59,4,5,6,6,79,32,27,30,138,118,165,270,572,314,56,436,3,4,0,0
106,"GREIFENBERG","STE",1,11,13,128,115,128,68,49,6,10,3,7,137,24,41,55,129,103,120,182,616,311,59,409,7,12,0,0,0,0,0,3,1,5,0,1,0,0,0,0,2,0,1,0,3,3,0,5,1,5,1,29,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,0,0,2,0,0,2,1,6,1,0,0,1,0,0,0,1,11,13,132,117,138,68,51,6,10,3,7,141,25,42,57,132,106,122,188,624,317,61,439,8,12,0,0
107,"REGENWALDE","STE",2,76,28,163,133,177,74,129,5,9,1,0,45,28,39,41,154,114,157,279,605,330,85,608,3,7,0,0,0,0,0,1,0,2,1,1,1,0,0,0,2,0,0,0,1,1,3,1,2,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,2,76,28,164,133,179,75,130,6,9,1,0,48,28,39,41,155,115,163,281,612,332,88,620,3,7,0,0
108,"SCHIVELBEIN","KOS",2,15,21,40,70,76,35,27,2,3,0,0,22,18,16,17,56,53,70,105,276,138,35,280,1,3,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,1,5,0,7,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,4,0,6,3,2,1,0,0,0,0,2,15,21,40,70,79,36,29,2,3,0,0,22,18,18,17,59,53,75,110,282,148,38,282,1,3,2,0
109,"DRAMBURG","KOS",1,26,47,86,128,128,86,45,4,4,4,5,195,181,39,30,156,127,154,174,549,287,57,512,2,3,1,2,0,0,0,9,2,8,0,0,0,0,0,0,0,4,0,2,0,2,1,0,1,2,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,7,1,3,1,0,0,0,0,1,26,47,95,130,136,86,46,4,4,4,5,196,186,40,34,157,130,155,174,561,290,62,542,2,3,1,2
110,"NEUSTETTIN","KOS",2,9,46,188,198,194,124,70,6,10,2,0,79,44,46,41,261,152,182,293,860,405,105,655,3,11,0,0,0,0,0,8,3,5,1,3,1,2,0,0,3,3,0,1,3,6,1,7,5,7,4,17,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,3,0,14,6,21,4,12,1,0,0,0,0,2,9,46,196,204,201,128,74,7,13,2,0,87,49,48,43,271,160,199,308,893,417,121,675,3,12,0,0
111,"BELGARD","KOS",0,22,41,147,109,125,73,47,6,5,0,0,57,40,46,62,177,169,137,231,597,303,67,484,5,5,0,2,1,5,2,0,2,5,3,0,0,0,0,0,0,1,1,0,0,3,1,5,0,3,2,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,7,1,0,0,0,0,0,0,1,27,43,147,112,130,76,47,6,5,0,0,58,41,47,62,177,173,140,238,604,307,69,492,5,6,0,2
112,"KOLBERG-KORLIN","KOS",1,20,37,144,110,171,69,71,4,11,1,6,63,35,40,51,189,225,169,317,856,410,81,656,4,24,0,0,0,3,1,2,0,7,0,2,0,0,0,0,1,0,1,5,3,3,3,8,18,11,3,12,1,3,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,2,1,1,0,3,0,3,6,1,3,0,0,0,0,1,23,38,146,111,178,71,73,6,12,1,6,64,35,44,57,193,228,175,325,877,427,85,671,5,27,0,0
113,"KOSLIN","KOS",0,1,23,170,97,166,61,72,5,10,0,11,57,13,44,159,147,202,149,287,824,426,61,448,5,36,4,0,0,0,0,4,1,13,0,2,0,0,0,0,0,2,1,5,3,9,2,4,12,10,6,9,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,1,3,1,4,0,0,0,1,0,0,1,25,175,99,181,61,76,5,10,0,11,58,17,45,164,151,211,153,292,844,440,71,457,5,38,5,0
114,"BUBLITZ","KOS",0,0,11,67,63,50,36,25,2,3,0,0,21,12,30,12,87,75,53,82,287,109,24,144,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,67,63,50,36,25,2,3,0,0,21,13,33,13,88,75,53,83,288,109,25,146,1,3,0,0
115,"SCHLAWE","KOS",6,27,46,295,162,177,93,62,11,204,1,6,130,57,58,64,243,237,208,339,957,435,152,609,2,4,0,0,1,6,5,23,1,9,0,0,0,5,0,0,1,0,1,2,0,4,0,1,5,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,6,3,9,1,1,0,0,1,0,0,7,33,51,318,163,186,93,62,13,211,1,6,131,57,62,69,244,241,214,343,971,441,157,614,3,5,0,0
116,"RUMMELSBURG","KOS",1,3,13,60,78,69,48,27,3,1,2,2,130,113,17,149,91,74,88,131,323,183,43,362,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,1,1,2,0,1,2,2,7,8,1,17,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,3,13,61,79,71,51,29,3,1,2,2,130,114,20,152,94,77,92,134,333,192,44,379,1,1,0,0
117,"STOLP","KOS",2,61,25,439,174,386,111,178,6,15,3,25,283,80,71,191,301,657,237,499,1149,782,129,1068,6,39,4,8,0,2,1,29,2,10,2,3,0,2,1,0,3,2,0,4,2,19,11,9,19,18,9,34,0,1,1,0,0,0,0,0,2,2,0,0,0,1,0,0,3,0,2,0,4,0,9,7,38,15,5,6,1,3,0,0,2,63,26,468,178,398,114,181,6,18,4,25,289,82,73,195,307,676,257,515,1210,817,144,1109,7,43,5,8
118,"LAUENBURG","KOS",1,45,38,210,92,118,41,34,4,9,1,2,32,26,19,37,106,96,100,161,432,193,61,294,3,9,0,0,0,8,3,19,3,15,5,2,0,0,0,1,4,4,1,4,5,6,5,17,18,27,5,18,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,1,2,1,0,1,0,0,0,0,0,3,54,41,229,95,133,48,36,4,9,1,3,38,32,21,42,113,102,106,180,452,220,67,314,3,10,0,0
119,"BUTOW","KOS",1,4,15,50,63,62,25,25,2,2,0,0,67,18,17,24,64,53,50,85,283,162,27,129,3,2,0,0,0,0,0,5,3,3,2,1,0,0,0,0,3,3,0,1,3,5,2,7,17,17,3,24,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,3,1,3,1,0,1,0,0,1,4,15,55,67,66,28,29,2,2,0,0,74,25,17,25,67,59,52,92,304,181,33,154,3,3,0,0
120,"RUGEN","STR",0,1,31,124,143,165,88,94,9,16,0,0,123,36,44,51,137,135,235,335,854,304,95,686,6,7,1,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,31,127,143,165,88,95,9,16,0,0,123,36,44,51,138,135,235,338,862,305,95,694,6,8,1,1
121,"STRALSUND","STR",1,3,18,54,87,263,54,200,4,16,9,54,89,59,41,66,122,251,163,341,1017,306,91,654,17,137,7,8,0,0,0,1,3,9,3,6,0,0,0,1,0,2,2,1,3,7,2,8,21,15,4,21,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,18,55,91,272,59,206,4,17,9,55,89,61,43,67,127,258,166,349,1041,322,95,675,17,140,7,8
122,"FRANZBURG","STR",0,14,23,141,132,157,64,110,5,5,1,1,169,44,32,39,145,84,223,304,610,292,78,477,4,3,1,0,0,3,0,5,7,2,0,1,0,0,0,0,1,0,1,0,1,0,6,2,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,146,140,159,64,111,5,5,1,1,173,48,33,39,146,84,229,306,615,293,79,481,4,3,1,0
123,"GREIFSWALD","STR",2,47,36,82,172,313,83,266,13,105,3,11,233,205,64,70,250,394,323,617,1284,478,161,962,14,47,3,12,1,14,1,2,3,13,2,2,0,3,0,0,1,3,2,6,2,8,0,8,14,2,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,3,61,37,84,175,326,85,268,13,109,3,11,234,208,66,76,254,402,324,626,1303,481,167,971,14,48,3,12
124,"GRIMMEN","STR",3,18,16,147,112,136,51,51,3,2,0,0,176,46,28,33,117,73,168,220,617,250,72,514,4,2,1,0,0,4,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,17,147,112,139,51,51,3,2,0,0,177,46,29,33,117,73,168,220,623,252,72,523,4,3,1,0
125,"WRESCHEN","POS",0,2,1,34,10,10,8,13,4,3,0,0,2,3,6,4,5,6,28,55,28,11,10,124,0,5,0,0,0,4,19,42,71,72,30,22,1,5,1,0,10,4,19,17,63,44,120,180,318,254,39,253,0,1,0,0,0,0,2,1,3,1,0,0,0,0,0,0,2,0,3,0,1,1,31,14,69,34,11,1,0,0,0,0,0,6,22,77,84,83,38,35,5,8,1,0,14,7,28,21,69,51,179,249,415,299,60,378,0,6,0,0
126,"PLESCHEN","POS",0,1,3,49,30,20,14,11,2,1,0,0,9,7,12,9,19,25,47,79,114,57,18,234,0,3,1,0,0,2,10,44,59,65,18,8,3,3,0,0,5,4,11,23,97,68,138,204,382,204,25,235,0,2,1,0,0,0,0,0,3,1,0,0,0,0,1,0,2,0,5,0,0,0,30,13,70,21,6,0,1,2,0,0,0,3,13,93,92,86,32,19,5,4,1,0,16,11,28,32,116,93,215,296,567,283,49,470,1,7,2,0
127,"SCHRODA","POS",0,11,1,5,23,18,8,5,3,2,0,0,10,1,5,5,23,14,37,62,45,12,14,82,0,2,0,0,0,20,6,47,56,49,20,14,1,2,1,0,11,7,19,14,59,35,125,208,277,141,35,188,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,20,13,23,4,7,1,1,0,0,0,0,31,7,52,81,67,28,19,4,4,1,0,21,8,24,19,83,50,182,284,345,157,56,271,1,2,0,0
128,"SCHRIMM","POS",2,23,7,37,27,21,14,16,5,1,0,0,3,1,7,9,28,29,70,66,114,34,25,86,2,6,0,0,2,42,18,66,63,57,35,41,2,5,4,1,28,11,30,14,106,111,171,199,491,265,68,231,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,5,0,2,0,27,18,93,33,9,0,0,0,0,0,4,65,27,103,90,78,49,59,7,6,4,1,34,12,42,23,136,140,268,284,698,332,102,317,2,6,0,0
129,"KOSTEN","POS",0,0,12,28,42,45,10,8,1,2,0,0,20,8,10,14,38,35,131,127,144,80,23,180,0,1,0,0,1,8,16,83,105,98,51,50,3,4,1,1,36,22,20,50,75,82,198,285,532,328,42,417,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,6,2,26,4,5,1,0,0,0,0,1,8,29,111,148,143,61,58,4,6,1,1,56,30,31,66,113,117,335,414,702,412,70,598,0,8,0,0
130,"BUK","POS",0,1,8,33,67,48,20,17,4,4,2,0,14,3,16,29,79,48,117,125,199,84,43,150,1,3,2,1,0,1,10,15,51,44,33,24,3,3,0,1,17,11,23,23,103,73,143,200,457,201,37,184,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,4,1,0,0,12,3,60,19,7,1,1,1,0,0,0,2,18,48,118,92,55,42,7,7,2,1,33,14,43,53,182,121,272,328,716,304,87,335,3,5,3,1
131,"POSEN","POS",1,0,4,19,52,260,40,104,6,11,3,31,33,7,34,82,114,204,92,278,777,331,105,490,9,78,5,7,0,2,12,102,82,483,26,164,3,27,2,26,26,10,49,134,119,534,169,757,1803,1506,105,895,11,168,13,18,0,0,7,3,8,6,9,5,5,4,0,0,9,2,9,8,17,4,75,65,205,30,14,9,5,3,1,0,1,2,23,124,142,749,75,273,14,42,5,57,68,19,92,224,250,742,336,1101,2786,1867,224,1394,25,249,19,25
132,"POSEN","POS",2,4,14,129,34,115,92,18,3,1,1,8,5,4,3,12,38,49,82,137,111,33,26,473,0,4,0,0,0,12,6,739,75,163,40,47,1,14,2,4,5,2,15,20,48,70,143,294,295,133,39,849,0,8,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,2,1,16,10,29,9,5,2,0,0,0,0,2,16,20,869,110,279,62,65,5,15,4,12,10,7,18,32,88,120,241,441,435,175,70,1324,0,12,0,0
133,"OBORNIK","POS",0,3,7,67,56,48,23,24,5,3,1,1,8,4,10,4,46,35,67,129,143,41,30,202,0,4,0,0,0,18,17,69,46,39,23,18,1,2,0,0,7,0,16,12,60,38,44,113,210,87,41,243,0,3,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,6,1,0,0,45,23,103,56,13,2,0,2,0,0,0,21,24,136,104,87,47,42,6,5,3,1,16,4,32,17,106,73,156,265,456,184,84,447,0,9,0,0
134,"SAMTER","POS",0,10,13,48,48,52,26,19,4,4,3,51,35,15,14,18,41,26,95,141,193,93,33,247,2,2,0,0,1,6,11,55,45,49,17,27,1,2,2,0,11,4,20,55,73,50,68,195,276,153,30,196,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,5,3,0,1,0,45,33,97,40,8,3,0,0,1,0,1,16,24,103,93,101,44,47,5,6,5,51,52,24,37,73,115,76,208,369,566,286,71,446,2,2,1,0
135,"BIRNBAUM","POS",1,22,33,126,87,93,31,41,6,5,3,2,36,12,26,36,124,122,149,247,382,204,65,281,3,9,0,0,1,26,14,75,37,46,23,13,0,3,1,1,5,4,13,7,56,66,45,125,219,114,33,313,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,3,2,0,0,0,18,15,31,12,3,0,1,1,0,0,2,48,48,202,126,139,54,54,6,8,4,3,43,19,41,43,180,188,212,387,632,330,101,594,4,12,0,0
136,"MESERITZ","POS",0,28,27,66,87,86,33,20,7,4,1,1,62,34,32,22,111,100,157,195,398,143,57,238,2,5,0,0,0,7,8,64,41,42,30,19,0,1,0,0,12,4,7,10,52,57,39,81,279,97,37,230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,12,6,24,7,3,1,0,0,1,1,0,35,35,130,128,128,63,39,7,5,1,1,76,39,39,32,163,158,208,282,701,247,98,470,2,6,1,1
137,"BOMST","POS",0,2,15,35,82,65,41,15,5,1,1,4,44,21,22,16,103,57,216,191,374,184,34,225,0,3,0,0,0,6,6,27,45,26,26,24,1,1,0,1,11,6,8,12,57,33,68,118,247,121,9,92,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,1,0,0,0,0,9,8,41,21,6,4,1,0,0,0,0,8,21,62,127,91,68,39,6,2,2,5,63,28,30,28,160,90,293,317,662,326,49,321,1,4,0,0
138,"FRAUSTADT","POS",0,10,19,85,87,121,42,34,4,10,4,6,100,51,37,41,97,108,263,307,580,435,53,429,4,18,1,6,0,4,12,84,68,118,43,43,2,3,2,1,82,73,16,39,80,98,130,278,508,340,27,463,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,6,13,28,11,107,95,6,1,1,0,1,0,0,14,31,169,156,239,85,77,7,13,6,8,184,124,56,80,184,219,422,599,1196,873,86,896,7,20,4,7
139,"KROBEN","POS",1,2,12,73,86,102,43,34,6,5,7,7,125,29,34,45,97,133,275,411,546,204,63,415,4,7,3,0,1,6,17,56,66,112,43,58,3,4,0,5,65,26,25,24,97,100,134,230,704,370,36,258,0,0,1,1,0,0,2,0,3,3,0,0,0,0,0,0,7,2,3,2,2,2,30,19,53,17,8,0,1,0,0,0,2,8,31,129,156,218,86,92,9,9,7,12,198,57,62,71,197,235,439,660,1305,591,108,673,5,7,4,1
140,"KROTOSCHIN","POS",0,0,9,49,95,82,43,41,6,4,2,3,77,10,32,61,76,98,157,164,364,228,46,197,3,3,0,1,0,0,18,50,87,84,82,32,5,3,1,2,39,4,20,38,92,104,174,187,537,335,44,146,0,4,0,0,0,0,1,0,6,0,1,2,0,0,0,0,3,0,4,1,4,0,44,22,63,18,13,1,1,3,3,0,0,0,28,99,188,166,126,75,11,7,3,5,119,14,56,100,172,202,375,373,964,581,103,344,4,10,3,1
141,"ADELNAU","POS",0,0,4,34,27,32,12,13,3,0,2,1,16,2,11,8,36,41,63,70,143,67,16,122,3,4,0,0,0,15,8,61,77,99,29,34,2,1,0,2,5,3,19,24,91,72,85,139,484,271,36,282,0,3,0,1,0,0,1,1,5,0,1,0,0,1,1,0,4,0,4,1,3,1,34,44,66,15,13,3,1,0,1,0,0,15,13,96,109,131,42,47,5,2,3,3,25,5,34,33,130,114,182,253,693,353,65,407,4,7,1,1
142,"SCHILDBERG","POS",1,2,2,17,29,23,18,4,2,2,0,0,6,2,8,19,27,44,58,70,129,48,16,119,2,3,1,0,1,3,8,33,50,53,32,11,2,5,1,1,2,1,11,100,78,40,84,133,467,228,25,184,0,0,0,1,0,0,1,0,11,8,0,1,0,0,0,0,0,0,2,2,6,1,67,27,80,35,10,2,0,0,0,0,2,5,11,50,90,84,50,16,4,7,1,1,8,3,21,121,111,85,209,231,676,311,51,305,2,3,1,1
143,"CZARNIKAU","BRO",0,1,28,117,120,139,60,40,4,5,0,14,37,26,27,25,154,122,127,237,492,278,64,542,2,6,0,1,0,5,33,57,47,47,27,18,2,1,0,1,5,2,9,10,68,63,17,83,243,148,25,229,1,1,2,0,0,0,1,0,1,2,0,1,0,0,1,0,1,2,1,0,1,1,62,56,63,34,6,0,0,0,1,0,0,6,62,174,168,188,87,59,6,6,1,15,43,30,37,35,223,186,206,376,798,460,95,771,3,7,3,1
144,"KOLMAR","BRO",2,53,30,210,87,144,64,73,8,11,0,4,34,20,16,26,105,105,136,212,389,233,57,411,2,7,1,0,1,11,35,99,52,68,26,30,2,16,1,0,6,5,18,23,60,44,45,97,239,143,30,305,2,4,0,0,2,0,0,2,5,3,2,1,0,0,0,0,2,0,2,2,3,0,63,46,67,18,13,6,0,2,0,0,7,64,66,311,144,215,92,104,10,27,1,4,43,25,36,51,169,149,244,355,695,394,100,725,4,13,1,0
145,"WIRSITZ","BRO",1,53,12,140,91,88,43,31,7,4,1,2,16,6,20,30,100,90,125,197,300,141,49,445,1,5,0,0,0,12,15,45,38,46,18,17,4,3,0,1,8,11,21,17,47,27,34,91,239,130,30,223,0,0,0,0,0,0,1,0,6,8,1,3,0,1,0,0,1,0,2,1,1,0,24,16,77,34,12,4,0,0,0,0,1,65,28,185,135,142,62,51,11,8,1,3,25,17,43,48,148,117,183,304,616,305,91,672,1,5,0,0
146,"BROMBERG","BRO",0,1,12,76,76,278,50,190,8,12,3,25,16,9,25,94,101,221,102,311,730,417,108,389,7,77,2,8,0,0,3,55,7,120,5,81,0,8,0,6,2,5,6,42,27,84,23,140,323,249,28,198,1,21,2,3,0,0,2,1,3,1,4,4,1,2,1,0,3,2,2,3,2,1,22,4,37,19,5,2,1,2,3,5,0,1,17,133,87,399,62,276,9,22,4,31,21,16,34,141,131,308,147,455,1094,685,142,590,9,100,7,16
147,"BROMBERG","BRO",3,17,17,239,100,235,46,120,3,5,0,5,19,6,16,47,80,219,135,230,372,154,48,954,0,20,0,6,0,14,20,135,46,113,19,46,1,13,0,8,6,4,12,34,59,109,39,122,325,113,30,448,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,0,2,2,22,17,26,10,13,2,0,0,0,1,3,31,37,374,149,348,65,167,4,18,0,13,26,12,29,81,141,331,196,369,723,277,91,1406,0,29,0,7
148,"SCHUBIN","BRO",3,38,7,96,43,31,20,13,7,5,0,0,22,17,9,5,42,65,82,126,188,67,36,274,0,0,1,0,0,5,24,91,42,54,19,18,2,2,1,0,8,2,19,14,68,85,70,150,294,153,33,270,0,0,0,0,0,0,0,1,6,2,1,0,1,0,0,0,0,0,5,0,0,0,46,21,132,32,18,5,0,0,0,0,3,43,31,188,91,87,40,31,10,7,1,0,30,19,33,19,110,150,199,297,614,252,87,549,0,0,1,0
